link,image_old,image,title,subjects,featured,type,status,ignore
https://web.archive.org/web/20201124031318/http://digitalcollections.lib.iastate.edu/george-washington-carver,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Carver.png?itok=VJsqD_na,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Carver.png,The Legacy of George Washington Carver,Iowa State History;George Washington Carver,,exhibit,legacy,
https://wayback.archive-it.org/org-169/20170705203603/http://digitalcollections.lib.iastate.edu/christian-petersen,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/ChristianPetersen.png?itok=R1DfEouT,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/ChristianPetersen.png,Christian Petersen: Artist and Teacher,Art;Iowa State History,,exhibit,legacy,
https://web.archive.org/web/20201124031444/http://digitalcollections.lib.iastate.edu/cookbook-collection,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Cookbooks.png?itok=89LPujY6,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Cookbooks.png,Iowa Cookbook Collection,Iowa;Cookbooks,,exhibit,legacy,
https://web.archive.org/web/20201026062548/http://digitalcollections.lib.iastate.edu/iowa-connections/descartes-pascal,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/DascartesPascal.png?itok=D6XrtUZx,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/DascartesPascal.png,Descartes Pascal Glass Plate Negative Collection,,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/baseball/diamond_reflections.htm,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/DiamondReflect.png?itok=-8_hpfCf,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/DiamondReflect.png,"Diamond Reflections: Iowa State's Baseball Tradition, 1892-2001",Iowa State History;Baseball,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/firstfamilies/revisedSept2005/firstfamilies.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/FirstFamilies.png?itok=04YcU5UN,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/FirstFamilies.png,First Families of Iowa State,Iowa State History,,exhibit,legacy,
http://iastatedigital.org/scuaexhibits/exhibits/show/bcc/background,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/HomeAwaySq3.png?itok=aj9ZRQIJ,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/HomeAwaySq3.png,A Home Away from Home,Black History,true,exhibit,complete,
http://historicexhibits.lib.iastate.edu/homecoming/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Homecoming.png?itok=ea-EqWRS,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Homecoming.png,Homecoming at Iowa State,Iowa State History;Homecoming;Football,,exhibit,legacy,
/projects/wpa.html,https://digitalcollections.lib.iastate.edu/islandora/object/isu%3AWPA_b7f24i1_1/datastream/JPG/view,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/wpa.jpg,WPA Iowa Photos,Iowa;WPA;Photography;GIS,,digital scholarship,in-progress,
https://emanderson811.github.io/computers-reading-cookbooks/,https://historicexhibits.lib.iastate.edu/iowacookbook/Images/toledoclub.jpg,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/toledoclub.jpg,Computers Reading Cookbooks,Cookbooks;NLP,,digital scholarship,in-progress,
https://isu-digital.github.io/historic-buildings/,,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/old-main_004_sm.jpg,Campus Cornerstones: A mapped history of Iowa State University,Iowa State University;architecture;campus history,,digital scholarship,in-progress,
http://exhibits.lib.iastate.edu/iowa-state-parks,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/IowaStateParks2017.png?itok=z6qy4NOL,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/IowaStateParks2017.png,Iowa State Parks 2017,Iowa;Parks,,exhibit,complete,
https://digital.lib.iastate.edu/online-exhibits/iowa-state-sesquicentennial,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/ISU150.png?itok=hLSc-Qdc,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/ISU150.png,Iowa State University Sesquicentennial Exhibit,Iowa State History,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/state/revised9-05/index.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/LetsGoState.png?itok=r9-mKgt2,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/LetsGoState.png,Cyclone Artifacts and Memorabilia from the 20th Century,Iowa State History;Sports,,exhibit,legacy,
https://exhibits.lib.iastate.edu/lgbt-student-life-at-iowa-state-university-1970-1999,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/LGBTQ.png?itok=5BHIjhS5,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/LGBTQ.png,LGBT+ Student Life at Iowa State University: 1970-1999,Iowa State History;LGBTQ+,,student project,complete,
https://exhibits.lib.iastate.edu/edward-mezvinsky,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Mezvinsky.png?itok=2Z3tQzUo,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Mezvinsky.png,Edward Mezvinsky,Watergate,,exhibit,complete,
http://historicexhibits.lib.iastate.edu/margaret/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/MMStanton.png?itok=ylVYk1BV,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/MMStanton.png,Margaret MacDonald Stanton,Iowa State History,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/Morrill/intro.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Morrill.png?itok=HbfhlF5r,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Morrill.png,Morrill Hall: The Jewel of Iowa State University,Iowa State History;Buildings,,exhibit,legacy,
http://exhibits.lib.iastate.edu/pammel-court-digital-exhibit,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Pammel.png?itok=1I2u2FzK,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Pammel.png,Pammel Court,Iowa State History,,exhibit,complete,
http://historicexhibits.lib.iastate.edu/buildings/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/PrairieSod.png?itok=OLAOHg_b,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/PrairieSod.png,From Prairie Sod to Campus Cornerstones,Iowa State History;Buildings,,exhibit,legacy,
https://wayback.archive-it.org/org-169/20200521234822/https://digitalcollections.lib.iastate.edu/isu-extension-and-outreach/reflections-on-isu-extension,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/Reflections2.png?itok=o0A0kzuN,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/Reflections2.png,Reflections on ISU Extension,Iowa State History;Extension,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/road/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/TheRoad.png?itok=kSF-KKOe,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/TheRoad.png,The Road I Grew Up On: A Rural History Project,Iowa,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/botanists/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/ThreeFounders.png?itok=ic1TWqSI,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/ThreeFounders.png,The Three Founders of Botany: Images of Rare Works,Rare Books,,student project,legacy,
http://historicexhibits.lib.iastate.edu/timesachangin/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/TimesChang.png?itok=8Gnyc3dR,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/TimesChang.png,'...The Times They Are A-Changing': Political Protests,Iowa State History;Protests,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/Seeds/home_index.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/TodaysSeed.png?itok=hyEu0OE7,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/TodaysSeed.png,Today's Seeds for Tomorrow's Harvest,Food Science;Women in STEM,,exhibit,legacy,
https://tracingrace.lib.iastate.edu/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/tracing_race_square.png?itok=CcymVWO5,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/tracing_race_square.png,Tracing Race,,,digital scholarship,,
http://historicexhibits.lib.iastate.edu/VEISHEA/home.html,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/VEISHEA.png?itok=YYZM0FmP,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/VEISHEA.png,VEISHEA: Iowa State's Rite of Spring,Iowa State History,,exhibit,legacy,
http://historicexhibits.lib.iastate.edu/Visions/,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/ViisionsofSci.png?itok=EsnKHTLi,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/ViisionsofSci.png,Visions of Scientific Beauty: Selected Botanical and Butterfly Images from Rare Book Collections,Rare Books;Botanical Illustration,,exhibit,legacy,
http://exhibits.lib.iastate.edu/we-are-isu-snapshots-of-student-life,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/WeRISU2.png?itok=taxe-dvW,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/WeRISU2.png,We Are ISU: Snapshots of Student Life,,true,exhibit,complete,
https://exhibits.lib.iastate.edu/womens-experience-at-iowa-state-from-1960-1979,https://digital.lib.iastate.edu/sites/default/files/styles/di_tile_image/public/auto/tile/WomensExper.png?itok=X70ecC2t,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/WomensExper.png,Women’s Experience at Iowa State from 1960-1979,Iowa State History;Women's History,,student project,complete,
https://iastatedigital.org/exhibits/oncetwicetrice/,,https://isuu00001library103stg.z21.web.core.windows.net/assets/media/trice.jpg,"Once, Twice, Trice: Students Tackle Naming Jack Trice Stadium",Iowa State History,,exhibit,complete
https://digital.lib.iastate.edu/exhibits/parkscentennial/,,/assets/img/parkscentennial-home-banner.jpg,"The Heart of the University: Parks Library at 100",Iowa State History;Parks Library,,exhibit,in-progress,
